Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
311,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,42
312,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,101
313,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,2025
314,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,6789
315,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,13579
316,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,24680
317,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,73205
318,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,10939
319,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,84752
320,CTRL,Scenario0,145,5,150,Low,-,-,-,-,-,-,62700
321,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,42
322,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,101
323,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,2025
324,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,6789
325,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,13579
326,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,24680
327,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,73205
328,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,10939
329,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,84752
330,CTRL,Scenario0,142,8,150,Low,-,-,-,-,-,-,62700
331,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,42
332,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,101
333,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,2025
334,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,6789
335,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,13579
336,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,24680
337,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,73205
338,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,10939
339,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,84752
340,CTRL,Scenario0,139,11,150,Low,-,-,-,-,-,-,62700
341,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,42
342,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,101
343,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,2025
344,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,6789
345,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,13579
346,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,24680
347,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,73205
348,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,10939
349,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,84752
350,CTRL,Scenario0,135,15,150,Low,-,-,-,-,-,-,62700
351,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,42
352,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,101
353,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,2025
354,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,6789
355,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,13579
356,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,24680
357,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,73205
358,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,10939
359,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,84752
360,CTRL,Scenario0,120,30,150,Low,-,-,-,-,-,-,62700
