Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
217,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,73205
218,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,10939
219,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,84752
220,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,62700
221,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,42
222,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,101
223,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,2025
224,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,6789
225,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,13579
226,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,24680
227,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,73205
228,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,10939
229,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,84752
230,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,62700
231,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,42
232,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,101
233,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,2025
234,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,6789
235,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,13579
236,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,24680
237,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,73205
238,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,10939
239,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,84752
